company,url,page_kind,web_score,aeo_score,selection_reason,crawl_id,group_id,occurrence_id,evaluation_id,rule_id,dimension,category,severity,finding_class,description,remediation,reason_code,analyzer_version,rule_version,stored_evidence,independent_observation,exact_offending_element_schema_heading,verdict,confidence,corrected_replay_outcome,corrected_replay_result,content_sha256,crawl_fetch_time,audit_fetch_time
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,ebbd9cdb-c4cc-5161-8bc1-bd8e2021259b,a641ea49-9bcd-4062-a52d-cee3c52be536,d86bb826-fd3d-4b30-a118-19efdb9b8414,aeo.assortment_freshness_signal,aeo,citability,medium,defect,Category pages expose an updated timestamp for the assortment.,Expose a publication or update timestamp for the assortment.,freshness_signal_missing,sh-analyzer-1,sh-rules-1,"{""reason"": ""freshness_signal_missing"", ""timestamp"": """", ""timestamp_source"": """"}",No date/time freshness signal found in HTTP time/meta/JSON-LD fields,No date/time freshness signal found in HTTP time/meta/JSON-LD fields,verified,high,,not_replayed,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,a6c06193-39d4-5612-8063-5b254bd5b8bd,ffd00e4f-31b9-4932-9182-9881cbead719,9bde813b-3195-4681-8e8c-382109719551,aeo.heading_hierarchy,aeo,content,medium,defect,Heading levels form a coherent page-kind-independent outline.,Use sequential heading levels to express content hierarchy.,,sh-analyzer-1,sh-rules-1,"{""levels"": [1, 3, 2], ""skips"": [{""from"": 1, ""to"": 3}]}","primary-content (main) heading levels [1, 3, 2]; skipped transitions: H1 → H3","primary-content (main) heading levels [1, 3, 2]; skipped transitions: H1 → H3",verified,high,missing,retained_verified,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,aacb605d-947a-54db-8dcd-e37a09b7abeb,817dd6c7-cc02-46c6-9362-02f10e833310,73fe32af-9c05-4ed4-bf07-23168bf2ba47,aeo.schema_expected_for_type,aeo,structured_data,low,advisory,Structured data includes a schema.org type expected for the classified page type.,Add the expected schema.org type for this page type (PAGE_KIND_EXPECTED_SCHEMA).,expected_schema_absent,sh-analyzer-1,sh-rules-1,"{""candidate_count"": 0, ""expected_types"": [""CollectionPage"", ""ItemList""], ""found_types"": [""Organization""], ""page_kind"": ""category"", ""primary_schema_type"": """", ""reason"": ""expected_schema_absent""}","expected one of ['CollectionPage', 'ItemList']; no expected type in HTTP JSON-LD/microdata (found ['Organization'])","expected one of ['CollectionPage', 'ItemList']; no expected type in HTTP JSON-LD/microdata (found ['Organization'])",verified,high,,not_replayed,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,e8644643-9e18-5a09-a6c2-4485f8ce28ae,85efc222-0d84-4d48-afde-c9e53445ab7b,ecc79bbc-5cc4-486c-b55f-e41f205ccdff,web.accessibility_form_names,technical,content,high,defect,Form controls have a deterministic accessible name.,Associate each form control with a label or ARIA name.,,sh-analyzer-1,sh-rules-1,"{""control_count"": 36, ""missing_accessible_name"": 20}",0 unnamed of 33 HTTP-visible controls,0 unnamed of 33 HTTP-visible controls,wrong,high,satisfied,removed_wrong,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,5a14e1b8-5e99-594a-9804-b504dc15f501,02f91987-2d64-46f8-abc1-4d4d44d94e07,dff8436a-198b-4e4c-8e02-9ecc7037567e,web.accessibility_heading_order,technical,content,medium,defect,Heading levels form a coherent document outline.,Do not skip heading levels when structuring page sections.,,sh-analyzer-1,sh-rules-1,"{""heading_levels"": [1, 3, 2], ""level_skips"": 1}","full-document heading levels [1, 3, 2]; skipped transitions: H1 → H3","full-document heading levels [1, 3, 2]; skipped transitions: H1 → H3",verified,high,,not_replayed,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,14578881-f68f-5deb-93fc-3c62ea87ceb7,db07edc3-91fb-4345-aeb4-98a41c7597e1,748dffe4-a84e-49d0-96ce-b7de447b8662,web.accessibility_image_alt,technical,content,medium,defect,Informative images declare alternative text.,"Add alt text to informative images; use alt="""" for decoration.",,sh-analyzer-1,sh-rules-1,"{""decorative_alt"": 66, ""image_count"": 77, ""missing_alt"": 1}",1 images omit alt: img[21] src=//www.goodeeworld.com/cdn/shop/t/741/assets/b-corp-text.svg?v=94703925812164379901775833169,1 images omit alt: img[21] src=//www.goodeeworld.com/cdn/shop/t/741/assets/b-corp-text.svg?v=94703925812164379901775833169,verified,high,,not_replayed,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31 01:42:25.606366+00:00,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,93.2,30.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,1ece65e3-9908-5e78-9cb8-88812776015f,45b10932-e40e-4cc9-bbbd-f39ec2ec0a29,4eeedf4d-6eca-4238-b753-a7b2ced8f47e,aeo.answer_first,aeo,content,medium,advisory,The first block under the first heading is a substantive answer/definitional paragraph.,Open each section with a direct answer before elaborating.,no_headings,sh-analyzer-1,sh-rules-1,"{""reason"": ""no_headings""}","primary-content begins with heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2] and has 3567 body words; no direct answer paragraph detected","primary-content begins with heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2] and has 3567 body words; no direct answer paragraph detected",verified,medium,missing,retained_verified,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31 01:40:37.932429+00:00,2026-08-31T03:48:58.745866+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,93.2,30.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,a6c06193-39d4-5612-8063-5b254bd5b8bd,dac18fdb-7b5c-49aa-9ccc-722fd33ec2c7,495569c7-45e2-49c2-83d8-909f831f57a7,aeo.heading_hierarchy,aeo,content,medium,defect,Heading levels form a coherent page-kind-independent outline.,Use sequential heading levels to express content hierarchy.,no_primary_headings,sh-analyzer-1,sh-rules-1,"{""levels"": [], ""reason"": ""no_primary_headings""}","primary-content (main) heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2]; skipped transitions: H1 → H3","primary-content (main) heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2]; skipped transitions: H1 → H3",verified,high,missing,retained_verified,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31 01:40:37.932429+00:00,2026-08-31T03:48:58.745866+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,93.2,30.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,074cca08-3b4e-5ad7-9469-f66999f042f5,4818cc61-bfb7-4150-8eac-9e88b97bfc2f,ddb104a0-9754-494d-bb3b-a6b9e181c0d7,aeo.question_headings,aeo,content,low,defect,Page uses question-form h2/h3 headings.,Phrase section headings as the questions users ask.,no_subheadings,sh-analyzer-1,sh-rules-1,"{""reason"": ""no_subheadings""}",No question-form primary-content headings among 8,No question-form primary-content headings among 8,verified,high,missing,retained_verified,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31 01:40:37.932429+00:00,2026-08-31T03:48:58.745866+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,93.2,30.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,5a14e1b8-5e99-594a-9804-b504dc15f501,9176f967-85b8-49df-8274-84e7a2988a87,5e5ab548-770a-408f-bbce-f23d030b7149,web.accessibility_heading_order,technical,content,medium,defect,Heading levels form a coherent document outline.,Do not skip heading levels when structuring page sections.,,sh-analyzer-1,sh-rules-1,"{""heading_levels"": [1, 3, 3, 3, 3, 3, 3, 3, 2], ""level_skips"": 1}","full-document heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2]; skipped transitions: H1 → H3","full-document heading levels [1, 3, 3, 3, 3, 3, 3, 3, 2]; skipped transitions: H1 → H3",verified,high,,not_replayed,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31 01:40:37.932429+00:00,2026-08-31T03:48:58.745866+00:00
